time flux flux_err timecorr cadenceno centroid_col centroid_row sap_flux sap_flux_err sap_bkg sap_bkg_err pdcsap_flux pdcsap_flux_err quality psf_centr1 psf_centr1_err psf_centr2 psf_centr2_err mom_centr1 mom_centr1_err mom_centr2 mom_centr2_err pos_corr1 pos_corr2
1635.88311239938 1.0046297e+00 1.2351145e-03 5.5783708e-03 294064 1886.59990 1703.48712 9.2655957e+03 1.1227621e+01 1.3559259e+03 2.1297488e+00 1.3387465e+04 1.6484610e+01 0 "" "" "" "" 1886.59990 5.8879692e-04 1703.48712 5.9747818e-04 2.7235605e-02 8.1876099e-02
1635.8845013035102 1.0075492e+00 1.2358328e-03 5.5783866e-03 294065 1886.60909 1703.48762 9.2711006e+03 1.1234151e+01 1.3570162e+03 2.1312203e+00 1.3426938e+04 1.6494196e+01 0 "" "" "" "" 1886.60909 5.8712089e-04 1703.48762 5.9748284e-04 4.3041863e-02 8.5252285e-02
1635.8858902076418 1.0098315e+00 1.2379197e-03 5.5784024e-03 294066 1886.59358 1703.48724 9.3138750e+03 1.1253122e+01 1.3537246e+03 2.1302278e+00 1.3457354e+04 1.6522049e+01 0 "" "" "" "" 1886.59358 5.8813835e-04 1703.48724 5.9576746e-04 2.1661181e-02 8.2838029e-02
1635.8872791117733 1.0089954e+00 1.2366716e-03 5.5784183e-03 294067 1886.59276 1703.49214 9.2966904e+03 1.1241776e+01 1.3527413e+03 2.1296928e+00 1.3446894e+04 1.6505390e+01 0 "" "" "" "" 1886.59276 5.8878772e-04 1703.49214 5.9634849e-04 2.2408227e-02 8.9095339e-02
1635.8886680163691 1.0068618e+00 1.2365868e-03 5.5784346e-03 294068 1886.60378 1703.48678 9.2873174e+03 1.1241005e+01 1.3539675e+03 2.1283998e+00 1.3418655e+04 1.6504259e+01 0 "" "" "" "" 1886.60378 5.8740663e-04 1703.48678 5.9681328e-04 3.5514478e-02 8.3574988e-02
1635.8900569204993 1.0073227e+00 1.2365952e-03 5.5784504e-03 294069 1886.60265 1703.48945 9.2900518e+03 1.1241082e+01 1.3537711e+03 2.1287808e+00 1.3426020e+04 1.6504372e+01 0 "" "" "" "" 1886.60265 5.8749667e-04 1703.48945 5.9669907e-04 3.1732917e-02 8.5814930e-02
1635.8914458246304 1.0065259e+00 1.2366334e-03 5.5784662e-03 294070 1886.59676 1703.48846 9.2900000e+03 1.1241428e+01 1.3549375e+03 2.1290128e+00 1.3416573e+04 1.6504881e+01 0 "" "" "" "" 1886.59676 5.8848748e-04 1703.48846 5.9669738e-04 2.3525396e-02 8.5309811e-02
1635.8928347292267 1.0050541e+00 1.2359408e-03 5.5784825e-03 294071 1886.60126 1703.48961 9.2779385e+03 1.1235134e+01 1.3548997e+03 2.1314390e+00 1.3397778e+04 1.6495638e+01 0 "" "" "" "" 1886.60126 5.8813050e-04 1703.48961 5.9713569e-04 2.9412549e-02 8.6992212e-02
1635.8942236333578 1.0058441e+00 1.2363672e-03 5.5784984e-03 294072 1886.60291 1703.48663 9.2777412e+03 1.1239008e+01 1.3514347e+03 2.1303966e+00 1.3411122e+04 1.6501328e+01 0 "" "" "" "" 1886.60291 5.8820489e-04 1703.48663 5.9729570e-04 3.0791502e-02 8.0660030e-02
1635.8956125374884 1.0073957e+00 1.2363407e-03 5.5785142e-03 294073 1886.60372 1703.48785 9.2920381e+03 1.1238768e+01 1.3499183e+03 2.1280198e+00 1.3431867e+04 1.6500975e+01 0 "" "" "" "" 1886.60372 5.8703171e-04 1703.48785 5.9641956e-04 3.1861134e-02 8.4092192e-02
