time flux flux_err timecorr cadenceno centroid_col centroid_row sap_flux sap_flux_err sap_bkg sap_bkg_err pdcsap_flux pdcsap_flux_err quality psf_centr1 psf_centr1_err psf_centr2 psf_centr2_err mom_centr1 mom_centr1_err mom_centr2 mom_centr2_err pos_corr1 pos_corr2
1628.2038271501647 1.0003300e+00 1.3376641e-03 5.4565226e-03 288535 1886.61321 1703.54316 9.0730732e+03 1.1972897e+01 2.7419819e+03 2.8671200e+00 1.3145779e+04 1.7578836e+01 10000000000000 "" "" "" "" 1886.61321 6.3681969e-04 1703.54316 6.4440601e-04 5.0214596e-02 1.5610561e-01
1628.205216065472 1.0030437e+00 1.3384050e-03 5.4565496e-03 288536 1886.61815 1703.54728 9.0949697e+03 1.1983479e+01 2.7394070e+03 2.8660188e+00 1.3185790e+04 1.7594376e+01 10000000000000 "" "" "" "" 1886.61815 6.3512457e-04 1703.54728 6.4324919e-04 5.7993047e-02 1.5808381e-01
1628.2066049812447 1.0030209e+00 1.3382947e-03 5.4565771e-03 288537 1886.62136 1703.54643 9.1184980e+03 1.1988267e+01 2.7373967e+03 2.8644772e+00 1.3191844e+04 1.7601404e+01 10000000000000 "" "" "" "" 1886.62136 6.3323928e-04 1703.54643 6.4191944e-04 5.7867162e-02 1.5888557e-01
1628.2079938965508 1.0035034e+00 1.3381691e-03 5.4566041e-03 288538 1886.61307 1703.54896 9.1245605e+03 1.1993456e+01 2.7368354e+03 2.8644598e+00 1.3205144e+04 1.7609022e+01 10000000000000 "" "" "" "" 1886.61307 6.3441787e-04 1703.54896 6.4162089e-04 4.9272016e-02 1.5766457e-01
1628.2093828118566 1.0012857e+00 1.3358033e-03 5.4566311e-03 288539 1886.62669 1703.54080 9.0750889e+03 1.1972253e+01 2.7381519e+03 2.8655462e+00 1.3175960e+04 1.7577890e+01 10000000000000 "" "" "" "" 1886.62669 6.3451560e-04 1703.54080 6.4436242e-04 7.5220846e-02 1.5086044e-01
1628.2107717271633 1.0037272e+00 1.3354146e-03 5.4566581e-03 288540 1886.61794 1703.55297 9.0835635e+03 1.1969464e+01 2.7320889e+03 2.8621514e+00 1.3208854e+04 1.7573797e+01 10000000000000 "" "" "" "" 1886.61794 6.3523371e-04 1703.55297 6.4295629e-04 5.4660480e-02 1.7566316e-01
1628.214938473549 1.0018072e+00 1.3361106e-03 5.4567396e-03 288543 1886.63007 1703.54142 9.1016426e+03 1.1975720e+01 2.7260623e+03 2.8604815e+00 1.3183608e+04 1.7582983e+01 10000000000000 "" "" "" "" 1886.63007 6.3229958e-04 1703.54142 6.4270996e-04 6.4946890e-02 1.5308110e-01
1628.216327388856 1.0027608e+00 1.3362794e-03 5.4567666e-03 288544 1886.61155 1703.54787 9.1127080e+03 1.1980042e+01 2.7247808e+03 2.8585377e+00 1.3199250e+04 1.7589327e+01 10000000000000 "" "" "" "" 1886.61155 6.3467817e-04 1703.54787 6.4181711e-04 4.6336591e-02 1.5827087e-01
1628.2177163041624 1.0015913e+00 1.3357435e-03 5.4567936e-03 288545 1886.61901 1703.54989 9.0987158e+03 1.1975349e+01 2.7216487e+03 2.8575113e+00 1.3183981e+04 1.7582438e+01 10000000000000 "" "" "" "" 1886.61901 6.3444884e-04 1703.54989 6.4244162e-04 5.6376543e-02 1.6422951e-01
1628.2191052194694 1.0007795e+00 1.3347565e-03 5.4568206e-03 288546 1886.62046 1703.53431 9.0854414e+03 1.1966631e+01 2.7199573e+03 2.8568885e+00 1.3173438e+04 1.7569637e+01 10000000000000 "" "" "" "" 1886.62046 6.3458580e-04 1703.53431 6.4368505e-04 6.0683299e-02 1.4261831e-01
1628.220494134776 1.0000107e+00 1.3335266e-03 5.4568476e-03 288547 1886.62736 1703.55068 9.0666016e+03 1.1955721e+01 2.7181287e+03 2.8555303e+00 1.3163448e+04 1.7553619e+01 10000000000000 "" "" "" "" 1886.62736 6.3412875e-04 1703.55068 6.4358203e-04 7.2539151e-02 1.6369230e-01
1628.2218830500829 1.0019065e+00 1.3329651e-03 5.4568746e-03 288548 1886.60503 1703.54892 9.0629365e+03 1.1950816e+01 2.7142239e+03 2.8535390e+00 1.3188544e+04 1.7546417e+01 10000000000000 "" "" "" "" 1886.60503 6.3752470e-04 1703.54892 6.4369023e-04 4.9890444e-02 1.6433880e-01
