time flux flux_err timecorr cadenceno centroid_col centroid_row sap_flux sap_flux_err sap_bkg sap_bkg_err pdcsap_flux pdcsap_flux_err quality psf_centr1 psf_centr1_err psf_centr2 psf_centr2_err mom_centr1 mom_centr1_err mom_centr2 mom_centr2_err pos_corr1 pos_corr2
1642.4664581086045 1.0019854e+00 1.3364911e-03 5.5935467e-03 298804 1886.61251 1703.42683 9.4006592e+03 1.2149170e+01 2.7814414e+03 2.8854241e+00 1.3373122e+04 1.7837645e+01 10000000000000 "" "" "" "" 1886.61251 6.2373892e-04 1703.42683 6.2886812e-04 3.6545631e-02 9.7468197e-03
1642.4678469922465 1.0000123e+00 1.3353901e-03 5.5935420e-03 298805 1886.60984 1703.42960 9.3796963e+03 1.2139162e+01 2.7785127e+03 2.8843684e+00 1.3346787e+04 1.7822950e+01 10000000000000 "" "" "" "" 1886.60984 6.2503142e-04 1703.42960 6.3002051e-04 3.2854270e-02 1.2480567e-02
1642.4692358754223 1.0032240e+00 1.3361907e-03 5.5935369e-03 298806 1886.60544 1703.42686 9.4018740e+03 1.2146440e+01 2.7772336e+03 2.8843787e+00 1.3389654e+04 1.7833635e+01 10000000000000 "" "" "" "" 1886.60544 6.2459073e-04 1703.42686 6.2866247e-04 3.0527681e-02 9.7384900e-03
1642.4706247590643 1.0011864e+00 1.3350807e-03 5.5935322e-03 298807 1886.61094 1703.42643 9.3820674e+03 1.2136349e+01 2.7725139e+03 2.8816776e+00 1.3362458e+04 1.7818821e+01 10000000000000 "" "" "" "" 1886.61094 6.2456878e-04 1703.42643 6.2942028e-04 3.5291847e-02 8.0454238e-03
1642.4720136422402 9.9872905e-01 1.3336745e-03 5.5935271e-03 298808 1886.61207 1703.42572 9.3523398e+03 1.2123565e+01 2.7801958e+03 2.8848064e+00 1.3329661e+04 1.7800053e+01 10000000000000 "" "" "" "" 1886.61207 6.2566774e-04 1703.42572 6.3063693e-04 3.5369150e-02 6.9858679e-03
1642.4734025258822 1.0036775e+00 1.3362791e-03 5.5935225e-03 298809 1886.60554 1703.43032 9.4078594e+03 1.2147242e+01 2.7733472e+03 2.8823743e+00 1.3395706e+04 1.7834814e+01 10000000000000 "" "" "" "" 1886.60554 6.2419457e-04 1703.43032 6.2865514e-04 3.0544406e-02 1.2010591e-02
1642.4747914090576 1.0020113e+00 1.3353834e-03 5.5935173e-03 298810 1886.60642 1703.42582 9.3932578e+03 1.2139100e+01 2.7690598e+03 2.8820822e+00 1.3373468e+04 1.7822861e+01 10000000000000 "" "" "" "" 1886.60642 6.2459777e-04 1703.42582 6.2875421e-04 3.1722762e-02 7.1698399e-03
1642.476180292233 1.0012305e+00 1.3358295e-03 5.5935122e-03 298811 1886.60628 1703.42953 9.3860928e+03 1.2143155e+01 2.7765474e+03 2.8843870e+00 1.3363047e+04 1.7828814e+01 10000000000000 "" "" "" "" 1886.60628 6.2525377e-04 1703.42953 6.2981888e-04 3.1480204e-02 1.1394314e-02
1642.4775691758755 1.0023479e+00 1.3357020e-03 5.5935076e-03 298812 1886.60626 1703.43013 9.3929053e+03 1.2141996e+01 2.7731348e+03 2.8822606e+00 1.3377962e+04 1.7827112e+01 10000000000000 "" "" "" "" 1886.60626 6.2488177e-04 1703.43013 6.2936271e-04 3.1922814e-02 1.1674455e-02
1642.4789580590514 1.0002447e+00 1.3344558e-03 5.5935024e-03 298813 1886.61022 1703.42620 9.3703779e+03 1.2130668e+01 2.7725071e+03 2.8812494e+00 1.3349891e+04 1.7810480e+01 10000000000000 "" "" "" "" 1886.61022 6.2517152e-04 1703.42620 6.2986923e-04 3.5964090e-02 8.2022771e-03
