TIC,Teff,Rad
214772274,5535,0.99
302116397,5531,1.05
12359032,5471,0.9
12393800,5571,1.31
20891744,5155,1.24
70742059,5357,0.88
70744192,5304,1.19
204322922,5634,0.94
313891046,5107,0.8
164752884,5276,0.81
29939923,5386,1.31
23193695,5785,0.89
36831287,5182,0.81
38402758,5472,1
65416676,5593,0.99
89187590,5256,0.92
92347098,5234,0.9
121011020,5223,1.01
159923666,5490,1.04
159989026,5660,0.99
166741952,5281,0.81
251083171,5533,0.85
318886674,5474,0.87
387464351,5446,0.83
419940635,5801,1.33
425142527,5865,1.23
121048789,5709,1.3
422848239,5338,0.92
737327,5872,1.35
11046349,5409,1.12
30946945,5334,1.17
34086013,5404,0.82
38048089,5828,1.03
43472154,5316,0.9
49935737,5548,0.94
55999432,5835,1.16
114923140,5568,1.04
117649333,5528,0.93
117747153,5215,0.93
146381318,5310,0.91
152370762,5785,1.05
178969585,5785,1.01
250130672,5729,0.97
284789252,5789,1.05
316835177,5333,0.83
316918406,5403,0.92
416741712,5655,0.91
423831579,5512,1.35
455007634,5792,0.98
468899939,5836,0.96
32874669,5147,0.84
32930236,5216,0.83
34509850,5708,1.15
46386531,5792,1.14
52588257,5362,1.53
53417036,5554,0.98
93277807,5706,1.37
143141922,5375,0.85
173088921,5361,1.19
220322529,5313,1.31
332860629,5345,1
458616184,5141,0.8
94515514,5643,1.51
148342995,5647,0.84
443968828,5640,0.87
409973553,5291,1.46
26076428,5585,1.12
143400356,5295,0.94
270561886,5966,1.63
270708781,5937,1.55
277712294,5468,0.98
281234132,5591,1.47
408350711,5351,0.86
47425894,5236,0.87
47428257,5700,1.14
54145213,5117,0.9
56649881,5805,1.65
144167304,5445,1.14
318092167,5843,1.23
157321951,5887,1.69
286147872,5528,0.93
286912556,5837,1.13
428643392,5722,1.01
76652075,5281,1.16
167704195,5235,1.15
272456799,5874,1.46
67822383,5805,1.15
79358659,5626,1.26
93985722,5113,1.25
98305034,5288,1.52
152346470,5844,1.44
194744695,5232,1.25
211143017,5167,1.2
318035342,5399,1.01
96458463,5323,0.85
210541258,5879,1.28
392322718,5488,1.36
97914505,5161,1.14
152039475,5364,0.88
175491080,5321,0.88
65291141,5555,1.18
7586485,5801,1.11
166874846,5881,0.77
168696027,5430,1.28
178285451,5900,1
179050471,5189,0.78
257605131,5481,0.86
257644579,5916,1.11
279492354,5742,0.98
21540586,5417,1.18
21649667,5857,1.44
30946742,5800,1.08
92845906,5634,1.37
139396805,5475,1.16
140209922,5839,1
24535497,5283,0.86
148002142,5106,0.91
157212164,5647,0.89
175305230,5419,1.14
25950248,5948,1.48
189570671,5865,1.32
270356871,5819.9565,1.89
9708387,5781.863,1.33
12359079,6022.735,1.09
419010038,5424.9233,1.21
434096244,5585.591,1.07
441054134,5865.7065,1.5
10802452,5259.6147,0.84
1114345,5687.094,0.96
93122097,5456.5957,1.01
142889317,5970.9663,1.22
274000285,5553.3496,0.86
321100884,6053.971,1.24
9293388,5957.215,1.19
144499196,5291.368,1.26
52641430,5891.088,1.16
148091129,5550.21,0.93
78234015,5425.4175,1.63
22011809,5446.3667,0.96
151737954,5986.264,1.14
168067848,4969.7563,1.17
294257082,5290.1016,0.82
54810190,4664.495,0.98
225707690,5574.6426,0.93
371122327,4810.5894,1.17
438863006,4830.596,0.97
93700013,5940.1904,1.44
179051609,5316.1694,1.22
210845898,5824.9624,1.45
295911223,4910.666,1.09
